category_1,category_2,category_3,article
3,3,2,food_4
5,2,5,pet_4
9,8,4,food_pet_1
7,7,2,food_pet_1
10,4,7,food_pet_3
10,2,9,pet_1
9,2,7,toy_5
3,1,4,toy_food_3
4,8,5,toy_5
1,1,2,toy_2
4,3,5,toy_3
3,7,3,pet_3
7,4,8,food_2
10,4,5,food_5
7,2,1,toy_food_3
1,4,6,food_2
2,10,4,toy_food_3
4,3,9,toy_1
4,6,4,pet_4
8,7,2,pet_3
8,7,10,pet_5
5,7,2,toy_5
7,3,6,pet_1
4,6,2,toy_food_3
2,9,2,food_pet_1
7,6,8,toy_3
7,7,7,food_3
4,10,3,food_pet_3
7,3,1,pet_1
3,7,9,toy_4
9,1,8,food_pet_2
3,8,4,food_3
3,9,3,food_5
1,8,2,toy_4
1,9,7,food_1
4,3,5,food_1
5,3,10,pet_4
4,10,10,food_pet_1
6,8,10,pet_2
9,10,5,food_pet_2
3,9,2,food_2
9,4,10,toy_food_1
6,2,10,toy_5
8,6,5,pet_5
1,9,1,food_1
10,5,5,food_pet_3
6,5,8,toy_2
9,2,3,toy_food_3
3,3,6,food_pet_2
3,9,2,pet_3
10,9,3,pet_5
9,1,9,toy_4
9,4,1,food_pet_3
7,2,3,toy_food_1
3,8,2,food_1
3,1,5,pet_4
4,5,9,food_5
7,7,3,pet_1
1,8,6,toy_food_2
2,10,3,pet_2
9,4,5,pet_4
2,4,9,food_pet_2
3,6,6,toy_3
5,7,2,toy_2
9,8,2,toy_5
6,8,4,food_4
2,8,4,toy_food_1
8,2,3,food_3
9,3,7,food_pet_1
10,1,8,food_5
8,8,3,food_pet_2
2,9,1,pet_4
4,4,4,food_pet_3
8,5,1,toy_5
6,1,6,toy_2
4,8,4,food_pet_2
8,5,5,pet_1
2,4,6,toy_1
8,8,8,toy_2
10,5,3,toy_4
3,5,10,food_pet_2
7,4,9,food_3
5,4,3,toy_food_3
5,7,9,food_2
1,3,7,food_1
8,7,7,pet_5
10,2,4,food_pet_1
2,4,5,toy_2
3,5,2,toy_food_1
3,8,1,food_2
6,2,5,food_5
4,5,5,toy_food_3
5,10,8,pet_4
4,5,5,food_3
6,8,9,toy_food_1
9,10,5,food_1
9,1,2,toy_5
8,9,6,food_pet_1
4,5,4,toy_food_3
6,1,4,pet_1
